State,Area,FIPS Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,Autauga County (AL),01001,0.4065,0.4122,0.4031,0.41,0.4227,0.4295,0.4501,0.4602,0.4542,0.4552,0.4499
Alabama,Baldwin County (AL),01003,0.437,0.4364,0.4455,0.4517,0.4564,0.4608,0.4618,0.4609,0.4587,0.4566,0.4572
Alabama,Barbour County (AL),01005,0.4536,0.4758,0.4658,0.4608,0.4642,0.462,0.4622,0.4731,0.4883,0.5047,0.5046
Alabama,Bibb County (AL),01007,0.4064,0.4212,0.45,0.4365,0.441,0.4494,0.4518,0.4294,0.4487,0.45,0.4532
Alabama,Blount County (AL),01009,0.4176,0.4112,0.4144,0.4134,0.4037,0.4165,0.4302,0.4331,0.457,0.4685,0.4562
Alabama,Bullock County (AL),01011,0.5268,0.4979,0.4899,0.446,0.4648,0.4701,0.482,0.5174,0.4731,0.4985,0.5159
Alabama,Butler County (AL),01013,0.4566,0.4691,0.4659,0.4591,0.4506,0.4588,0.4495,0.4708,0.4619,0.4667,0.4712
Alabama,Calhoun County (AL),01015,0.454,0.4532,0.4594,0.4545,0.4464,0.4543,0.4629,0.4676,0.4633,0.4581,0.4567
Alabama,Chambers County (AL),01017,0.4376,0.4576,0.4773,0.5023,0.4831,0.4734,0.4592,0.4568,0.423,0.4182,0.4146
Alabama,Cherokee County (AL),01019,0.4477,0.4556,0.4639,0.4658,0.4573,0.4464,0.4534,0.4539,0.4515,0.4596,0.4702
Alabama,Chilton County (AL),01021,0.4481,0.4468,0.4356,0.4517,0.4462,0.4575,0.4693,0.4845,0.4719,0.4603,0.4416
Alabama,Choctaw County (AL),01023,0.4683,0.4709,0.4814,0.4866,0.4849,0.4799,0.486,0.4809,0.469,0.4534,0.4775
Alabama,Clarke County (AL),01025,0.5128,0.52,0.5205,0.5249,0.531,0.5259,0.5194,0.5185,0.5158,0.5303,0.5146
Alabama,Clay County (AL),01027,0.4108,0.4216,0.4322,0.4373,0.4217,0.4497,0.4574,0.4684,0.4615,0.4848,0.4907
Alabama,Cleburne County (AL),01029,0.4209,0.4381,0.4346,0.4432,0.4381,0.4441,0.4569,0.4622,0.457,0.4638,0.4887
Alabama,Coffee County (AL),01031,0.4527,0.4445,0.4509,0.4474,0.4476,0.4485,0.4486,0.4427,0.4327,0.431,0.43
Alabama,Colbert County (AL),01033,0.4411,0.441,0.4385,0.4361,0.4432,0.4396,0.4383,0.4496,0.4467,0.4352,0.437
Alabama,Conecuh County (AL),01035,0.5362,0.5235,0.5244,0.4952,0.5014,0.4791,0.4552,0.4354,0.4296,0.4392,0.4253
Alabama,Coosa County (AL),01037,0.4436,0.4264,0.4259,0.4341,0.4207,0.4263,0.4372,0.4646,0.4515,0.4291,0.4242
Alabama,Covington County (AL),01039,0.4898,0.4657,0.4568,0.4637,0.4613,0.4555,0.4486,0.4553,0.4598,0.4786,0.4809
Alabama,Crenshaw County (AL),01041,0.477,0.4715,0.4828,0.4589,0.4756,0.468,0.4664,0.504,0.4921,0.5165,0.5312
Alabama,Cullman County (AL),01043,0.4458,0.4471,0.4489,0.4582,0.4517,0.4529,0.4482,0.4548,0.4416,0.4355,0.4314
Alabama,Dale County (AL),01045,0.4189,0.4271,0.4434,0.434,0.4426,0.4576,0.4561,0.45,0.4479,0.4515,0.4466
Alabama,Dallas County (AL),01047,0.5189,0.518,0.5268,0.5281,0.5255,0.517,0.4974,0.4885,0.4691,0.4723,0.4638
Alabama,De Kalb County (AL),01049,0.454,0.4523,0.4397,0.4431,0.443,0.4438,0.4648,0.4748,0.4723,0.4605,0.4769
Alabama,Elmore County (AL),01051,0.413,0.4039,0.4083,0.4103,0.4204,0.427,0.4374,0.4359,0.4413,0.4272,0.4229
Alabama,Escambia County (AL),01053,0.4606,0.4656,0.4777,0.4742,0.4645,0.4891,0.4844,0.4823,0.4818,0.4799,0.4648
Alabama,Etowah County (AL),01055,0.4514,0.4514,0.4436,0.4458,0.4363,0.4391,0.4441,0.4483,0.4594,0.4553,0.4549
Alabama,Fayette County (AL),01057,0.4335,0.4414,0.4581,0.467,0.459,0.4579,0.4669,0.4635,0.461,0.4548,0.4661
Alabama,Franklin County (AL),01059,0.4484,0.4483,0.4482,0.4386,0.439,0.4415,0.4305,0.4224,0.4276,0.4339,0.4307
Alabama,Geneva County (AL),01061,0.4673,0.4525,0.4572,0.448,0.4567,0.4508,0.445,0.4413,0.44,0.4344,0.4399
Alabama,Greene County (AL),01063,0.5096,0.5081,0.4939,0.4876,0.5138,0.5086,0.5148,0.5041,0.5115,0.4841,0.4747
Alabama,Hale County (AL),01065,0.4834,0.4905,0.5143,0.5082,0.4868,0.4906,0.4968,0.5071,0.4994,0.4997,0.4892
Alabama,Henry County (AL),01067,0.4274,0.4333,0.4321,0.4402,0.4536,0.459,0.4529,0.435,0.4407,0.4458,0.4597
Alabama,Houston County (AL),01069,0.4638,0.4712,0.4745,0.473,0.4815,0.4809,0.4797,0.4808,0.4832,0.4798,0.4819
Alabama,Jackson County (AL),01071,0.4452,0.4377,0.4405,0.4473,0.4421,0.4543,0.4537,0.4616,0.4516,0.454,0.4529
Alabama,Jefferson County (AL),01073,0.4937,0.4948,0.4972,0.497,0.4994,0.4995,0.501,0.4996,0.5009,0.5037,0.5021
Alabama,Lamar County (AL),01075,0.4945,0.5026,0.438,0.4345,0.4808,0.471,0.4733,0.4623,0.472,0.4393,0.4337
Alabama,Lauderdale County (AL),01077,0.4587,0.4505,0.4497,0.4615,0.4589,0.464,0.46,0.4672,0.4601,0.4595,0.4618
Alabama,Lawrence County (AL),01079,0.4081,0.4183,0.4249,0.4247,0.4357,0.433,0.4317,0.4389,0.4409,0.4293,0.4254
Alabama,Lee County (AL),01081,0.4765,0.4776,0.4816,0.4937,0.4976,0.5003,0.5008,0.5081,0.5026,0.51,0.5093
Alabama,Limestone County (AL),01083,0.4402,0.4448,0.4501,0.4541,0.4604,0.4595,0.4582,0.4509,0.4454,0.43,0.4326
Alabama,Lowndes County (AL),01085,0.5314,0.5192,0.5466,0.5281,0.5464,0.5244,0.5059,0.4999,0.5064,0.4876,0.5104
Alabama,Macon County (AL),01087,0.4807,0.4751,0.4634,0.4703,0.4664,0.4753,0.5056,0.5145,0.5095,0.5084,0.4982
Alabama,Madison County (AL),01089,0.4564,0.4597,0.4654,0.4701,0.4676,0.4664,0.4668,0.4673,0.462,0.4632,0.4629
Alabama,Marengo County (AL),01091,0.472,0.4978,0.5174,0.5402,0.5357,0.519,0.5303,0.5386,0.5495,0.5509,0.5298
Alabama,Marion County (AL),01093,0.4521,0.4527,0.4727,0.4711,0.4755,0.475,0.4734,0.4596,0.4587,0.4588,0.4431
Alabama,Marshall County (AL),01095,0.4648,0.4613,0.4578,0.4659,0.4744,0.473,0.4816,0.4805,0.4707,0.4616,0.4645
Alabama,Mobile County (AL),01097,0.4709,0.4695,0.4711,0.4732,0.4693,0.4703,0.4729,0.4765,0.476,0.4709,0.4674
Alabama,Monroe County (AL),01099,0.4841,0.4709,0.4774,0.492,0.5194,0.537,0.5568,0.5477,0.5495,0.5292,0.504
Alabama,Montgomery County (AL),01101,0.4765,0.4739,0.4756,0.4771,0.4819,0.4858,0.4831,0.4929,0.4928,0.4899,0.4933
Alabama,Morgan County (AL),01103,0.4344,0.4396,0.45,0.4488,0.4542,0.4531,0.4566,0.4511,0.4526,0.4558,0.4523
Alabama,Perry County (AL),01105,0.4716,0.469,0.4775,0.4924,0.515,0.4983,0.4962,0.479,0.4938,0.4591,0.4539
Alabama,Pickens County (AL),01107,0.4481,0.4594,0.4616,0.4608,0.478,0.4958,0.484,0.4997,0.4907,0.4859,0.4633
Alabama,Pike County (AL),01109,0.5015,0.4961,0.5025,0.4938,0.4992,0.5205,0.5169,0.5343,0.5367,0.5213,0.5323
Alabama,Randolph County (AL),01111,0.4895,0.491,0.4952,0.4525,0.4515,0.4446,0.4516,0.4733,0.4815,0.4652,0.4817
Alabama,Russell County (AL),01113,0.4282,0.4417,0.4533,0.4535,0.443,0.4554,0.4591,0.454,0.4661,0.4796,0.4744
Alabama,Saint Clair County (AL),01115,0.4203,0.4249,0.4245,0.423,0.426,0.4144,0.4102,0.4068,0.4065,0.4035,0.4086
Alabama,Shelby County (AL),01117,0.4306,0.4307,0.4274,0.4253,0.4265,0.4296,0.4275,0.4344,0.4392,0.4424,0.4445
Alabama,Sumter County (AL),01119,0.5058,0.4952,0.4816,0.4762,0.5068,0.5215,0.5187,0.5469,0.5289,0.4841,0.4807
Alabama,Talladega County (AL),01121,0.4417,0.4509,0.4627,0.4514,0.4615,0.4567,0.4543,0.4584,0.467,0.462,0.461
Alabama,Tallapoosa County (AL),01123,0.4792,0.4593,0.452,0.4444,0.4523,0.4548,0.4536,0.4617,0.4689,0.4558,0.4684
Alabama,Tuscaloosa County (AL),01125,0.4738,0.474,0.4678,0.4666,0.4671,0.4686,0.4607,0.463,0.4677,0.4617,0.4612
Alabama,Walker County (AL),01127,0.4619,0.4506,0.4588,0.4635,0.4594,0.4599,0.4566,0.4587,0.4522,0.4524,0.4544
Alabama,Washington County (AL),01129,0.4441,0.4428,0.4381,0.4169,0.4245,0.4354,0.4635,0.4684,0.4989,0.526,0.5133
Alabama,Wilcox County (AL),01131,0.5103,0.522,0.5292,0.5321,0.536,0.5301,0.5175,0.5108,0.4887,0.4717,0.4696
Alabama,Winston County (AL),01133,0.4644,0.478,0.4661,0.4564,0.4552,0.4415,0.4525,0.4517,0.4752,0.4541,0.4638
Alaska,Aleutians East County (AK),02013,0.3707,0.392,0.3727,0.3858,0.3743,0.3868,0.4025,0.3987,0.4068,0.3831,0.3956
Alaska,Aleutians West County (AK),02016,0.3785,0.3772,0.3827,0.3911,0.3711,0.3659,0.3688,0.3628,0.3514,0.329,0.3457
Alaska,Anchorage County (AK),02020,0.4132,0.4145,0.4132,0.4156,0.4225,0.4201,0.4192,0.4251,0.4298,0.4201,0.4274
Alaska,Bethel County (AK),02050,0.4463,0.4492,0.4486,0.4427,0.4205,0.4289,0.4338,0.4446,0.4502,0.4582,0.4568
Alaska,Bristol Bay County (AK),02060,0.3342,0.3456,0.3485,0.3476,0.3571,0.3808,0.3817,0.3911,0.3916,0.3774,0.4012
Alaska,Denali County (AK),02068,0.3295,0.3579,0.3741,0.3756,0.3633,0.3762,0.3568,0.3631,0.3486,0.3881,0.3697
Alaska,Dillingham County (AK),02070,0.4304,0.426,0.4378,0.4345,0.4377,0.4268,0.4284,0.4285,0.4271,0.4063,0.4222
Alaska,Fairbanks North Star County (AK),02090,0.4005,0.4066,0.4081,0.4013,0.4026,0.4029,0.3977,0.4061,0.4094,0.4122,0.4241
Alaska,Haines County (AK),02100,0.3989,0.398,0.3759,0.4171,0.4124,0.4263,0.415,0.3796,0.3985,0.4006,0.4273
Alaska,Hoonah-Angoon (AK),02105,0.4244,0.4445,0.44,0.4472,0.4063,0.3908,0.3871,0.3914,0.4306,0.4432,0.4448
Alaska,Juneau County (AK),02110,0.3879,0.3869,0.3831,0.3738,0.3878,0.379,0.3815,0.3947,0.3985,0.3832,0.4054
Alaska,Kenai Peninsula County (AK),02122,0.4245,0.4266,0.4198,0.419,0.4226,0.4179,0.4273,0.4322,0.4393,0.4419,0.4543
Alaska,Ketchikan Gateway County (AK),02130,0.3967,0.3929,0.3981,0.4057,0.411,0.4158,0.4157,0.4161,0.4332,0.4275,0.4317
Alaska,Kodiak Island County (AK),02150,0.3707,0.3631,0.3878,0.3984,0.3988,0.3845,0.3983,0.3869,0.372,0.3773,0.3955
Alaska,Kusilvak Census Area (AK),02158,NA,NA,NA,NA,0.4082,0.4156,0.4268,0.4305,0.4285,0.4256,0.4371
Alaska,Lake and Peninsula County (AK),02164,0.4191,0.4412,0.4257,0.4362,0.4403,0.4409,0.4388,0.4318,0.4259,0.4048,0.4207
Alaska,Matanuska Susitna County (AK),02170,0.3893,0.3955,0.4042,0.4042,0.3997,0.4061,0.4098,0.4171,0.422,0.4284,0.4252
Alaska,Nome County (AK),02180,0.423,0.4194,0.4356,0.4427,0.4361,0.4413,0.4372,0.4294,0.4301,0.4322,0.435
Alaska,North Slope County (AK),02185,0.3663,0.3859,0.356,0.3777,0.4047,0.4155,0.4132,0.4156,0.4094,0.4011,0.4072
Alaska,Northwest Arctic County (AK),02188,0.3852,0.3982,0.405,0.4034,0.4067,0.42,0.4341,0.4375,0.4469,0.4363,0.4313
Alaska,Petersburg (AK),02195,0.3752,0.4091,0.4365,0.4422,0.4318,0.4475,0.4524,0.4388,0.4274,0.4224,0.4275
Alaska,Prince of Wales-Hyder (AK),02198,0.4209,0.4278,0.4239,0.4319,0.427,0.4103,0.4232,0.4139,0.4326,0.4275,0.4322
Alaska,Sitka County (AK),02220,0.3732,0.3774,0.3813,0.3862,0.3876,0.3924,0.3944,0.4222,0.4185,0.3935,0.3778
Alaska,Skagway Municipality (AK),02230,0.3568,0.3779,0.3781,0.3761,0.3282,0.3262,0.3271,0.3224,0.3023,0.3417,0.3576
Alaska,Southeast Fairbanks County (AK),02240,0.3722,0.3898,0.413,0.3944,0.3958,0.3899,0.3918,0.3858,0.4058,0.4231,0.4322
Alaska,Valdez Cordova County (AK),02261,0.3883,0.3943,0.392,0.4059,0.4138,0.4122,0.3946,0.4226,0.413,NA,NA
Alaska,Wade Hampton County (AK),02270,0.3993,0.3894,0.398,0.4011,NA,NA,NA,NA,NA,NA,NA
Alaska,Wrangell City and Borough (AK),02275,0.4562,0.4049,0.4184,0.4157,0.4135,0.3991,0.3945,0.4071,0.4208,0.3915,0.4152
Alaska,Yakutat (AK),02282,0.3698,0.342,0.3296,0.3488,0.3405,0.3499,0.3518,0.3498,0.3385,0.3059,0.2949
Alaska,Yukon Koyukuk County (AK),02290,0.4503,0.4491,0.4571,0.4509,0.4531,0.4587,0.4684,0.4666,0.4671,0.4749,0.4752
Arizona,Apache County (AZ),04001,0.4827,0.4845,0.4738,0.4693,0.4793,0.4847,0.4883,0.495,0.5013,0.4941,0.5055
Arizona,Cochise County (AZ),04003,0.4318,0.44,0.445,0.4496,0.4532,0.4529,0.4449,0.4404,0.4427,0.4353,0.4353
Arizona,Coconino County (AZ),04005,0.4431,0.4508,0.4617,0.4701,0.478,0.4767,0.4803,0.4654,0.4667,0.4641,0.4768
Arizona,Gila County (AZ),04007,0.4373,0.4379,0.4215,0.4274,0.4284,0.4328,0.4442,0.4451,0.4427,0.4449,0.4455
Arizona,Graham County (AZ),04009,0.4119,0.4281,0.4205,0.4242,0.4271,0.4244,0.4149,0.4049,0.4196,0.4057,0.4065
Arizona,Greenlee County (AZ),04011,0.3492,0.362,0.3722,0.3889,0.3955,0.4102,0.4008,0.3908,0.3805,0.3774,0.3685
Arizona,La Paz County (AZ),04012,0.4259,0.4178,0.4221,0.4115,0.4147,0.4389,0.4323,0.4663,0.4879,0.4983,0.4708
Arizona,Maricopa County (AZ),04013,0.4536,0.4559,0.4582,0.4616,0.4645,0.4682,0.4679,0.4666,0.4641,0.4629,0.4572
Arizona,Mohave County (AZ),04015,0.4268,0.4307,0.4318,0.435,0.4382,0.4455,0.4451,0.4451,0.4456,0.4476,0.4512
Arizona,Navajo County (AZ),04017,0.4534,0.4617,0.4702,0.4702,0.4766,0.4696,0.4773,0.4751,0.4739,0.4581,0.4534
Arizona,Pima County (AZ),04019,0.4611,0.4653,0.4672,0.4691,0.4726,0.4713,0.4725,0.4713,0.4694,0.4658,0.4652
Arizona,Pinal County (AZ),04021,0.3974,0.3987,0.399,0.4061,0.4148,0.4202,0.4287,0.4235,0.4204,0.438,0.422
Arizona,Santa Cruz County (AZ),04023,0.492,0.4713,0.4793,0.4662,0.4613,0.4818,0.487,0.4933,0.4997,0.4927,0.4774
Arizona,Yavapai County (AZ),04025,0.4544,0.461,0.4462,0.4362,0.4352,0.4415,0.4447,0.4462,0.4435,0.4504,0.4434
Arizona,Yuma County (AZ),04027,0.4193,0.4211,0.4251,0.4312,0.4398,0.4388,0.4443,0.4462,0.4429,0.454,0.4585
Arkansas,Arkansas County (AR),05001,0.4523,0.4681,0.4455,0.4663,0.4816,0.4876,0.4877,0.4963,0.4807,0.4646,0.4544
Arkansas,Ashley County (AR),05003,0.4446,0.4505,0.4555,0.4573,0.4754,0.4546,0.4658,0.476,0.4694,0.4717,0.5146
Arkansas,Baxter County (AR),05005,0.4415,0.442,0.4382,0.4395,0.4574,0.4388,0.445,0.4539,0.4517,0.4592,0.4738
Arkansas,Benton County (AR),05007,0.4341,0.4368,0.4384,0.437,0.4442,0.4477,0.4505,0.4549,0.4586,0.4604,0.4603
Arkansas,Boone County (AR),05009,0.459,0.4584,0.4643,0.4486,0.4482,0.452,0.4367,0.4451,0.4364,0.4353,0.4348
Arkansas,Bradley County (AR),05011,0.4617,0.4698,0.4984,0.4891,0.4928,0.4794,0.4812,0.4603,0.451,0.4456,0.4686
Arkansas,Calhoun County (AR),05013,0.4002,0.4133,0.4255,0.4337,0.4338,0.4401,0.4405,0.4266,0.4212,0.4184,0.393
Arkansas,Carroll County (AR),05015,0.4407,0.4364,0.438,0.4315,0.424,0.4365,0.4371,0.4572,0.4631,0.4738,0.4577
Arkansas,Chicot County (AR),05017,0.494,0.4877,0.5181,0.5465,0.5403,0.5425,0.5589,0.5579,0.5252,0.5381,0.5581
Arkansas,Clark County (AR),05019,0.4822,0.4838,0.4731,0.4804,0.4856,0.4654,0.451,0.4509,0.4319,0.4613,0.4574
Arkansas,Clay County (AR),05021,0.4477,0.433,0.4298,0.4192,0.4427,0.4528,0.4468,0.4574,0.4663,0.4363,0.4363
Arkansas,Cleburne County (AR),05023,0.4418,0.4555,0.4542,0.4735,0.4717,0.4727,0.4688,0.4582,0.4501,0.4465,0.4561
Arkansas,Cleveland County (AR),05025,0.4532,0.4493,0.4465,0.4447,0.4387,0.4317,0.4299,0.4418,0.4257,0.4314,0.4575
Arkansas,Columbia County (AR),05027,0.4726,0.4583,0.463,0.4634,0.4656,0.463,0.4725,0.4974,0.4973,0.5365,0.5483
Arkansas,Conway County (AR),05029,0.4905,0.4768,0.4621,0.4646,0.4685,0.4702,0.4629,0.4675,0.4812,0.4846,0.4813
Arkansas,Craighead County (AR),05031,0.4848,0.4835,0.4874,0.4831,0.4733,0.4762,0.4824,0.493,0.4816,0.4953,0.4846
Arkansas,Crawford County (AR),05033,0.4006,0.4099,0.4301,0.4281,0.4437,0.4387,0.4335,0.4456,0.4477,0.4444,0.4414
Arkansas,Crittenden County (AR),05035,0.4651,0.4596,0.4611,0.4558,0.4533,0.4512,0.4501,0.4568,0.4689,0.4694,0.4582
Arkansas,Cross County (AR),05037,0.4128,0.4241,0.4319,0.4468,0.4568,0.4626,0.4725,0.4752,0.4593,0.4623,0.4611
Arkansas,Dallas County (AR),05039,0.4768,0.4748,0.4638,0.4288,0.4169,0.3892,0.3893,0.4104,0.4249,0.4333,0.4594
Arkansas,Desha County (AR),05041,0.4943,0.5046,0.525,0.527,0.4983,0.4747,0.4871,0.4642,0.4547,0.4511,0.4587
Arkansas,Drew County (AR),05043,0.4593,0.4603,0.4782,0.484,0.4786,0.4903,0.4886,0.4806,0.4941,0.5068,0.4775
Arkansas,Faulkner County (AR),05045,0.4391,0.4309,0.4374,0.441,0.442,0.4488,0.4552,0.4615,0.4674,0.4637,0.4596
Arkansas,Franklin County (AR),05047,0.4552,0.4375,0.4409,0.4332,0.4261,0.4239,0.4274,0.448,0.4533,0.4653,0.4484
Arkansas,Fulton County (AR),05049,0.4222,0.4103,0.4142,0.4105,0.4016,0.4171,0.4285,0.4311,0.4256,0.4379,0.433
Arkansas,Garland County (AR),05051,0.4658,0.4672,0.4677,0.4763,0.4873,0.4851,0.4887,0.4881,0.4807,0.4564,0.4617
Arkansas,Grant County (AR),05053,0.3928,0.3863,0.4094,0.404,0.4403,0.4477,0.4633,0.4394,0.4471,0.4563,0.4581
Arkansas,Greene County (AR),05055,0.4199,0.4293,0.4303,0.4287,0.4288,0.4325,0.4147,0.417,0.4261,0.4241,0.4169
Arkansas,Hempstead County (AR),05057,0.4467,0.4489,0.4508,0.4633,0.4608,0.4469,0.4379,0.4257,0.4199,0.4408,0.4458
Arkansas,Hot Spring County (AR),05059,0.4037,0.3924,0.4189,0.4241,0.4357,0.4431,0.4474,0.4369,0.428,0.4301,0.4246
Arkansas,Howard County (AR),05061,0.4632,0.4562,0.4466,0.4683,0.4984,0.5215,0.5268,0.5284,0.511,0.4669,0.4572
Arkansas,Independence County (AR),05063,0.4618,0.4734,0.4768,0.4578,0.4581,0.467,0.4691,0.45,0.4561,0.4541,0.4552
Arkansas,Izard County (AR),05065,0.4269,0.4266,0.4422,0.4442,0.4311,0.4192,0.4082,0.4257,0.4278,0.4536,0.4734
Arkansas,Jackson County (AR),05067,0.4556,0.4563,0.4568,0.4469,0.4984,0.5096,0.5104,0.5031,0.501,0.4585,0.4648
Arkansas,Jefferson County (AR),05069,0.4581,0.4649,0.4679,0.4732,0.4797,0.471,0.4664,0.4695,0.4642,0.4762,0.469
Arkansas,Johnson County (AR),05071,0.476,0.4924,0.4993,0.4784,0.4784,0.463,0.4478,0.4427,0.4491,0.458,0.4676
Arkansas,Lafayette County (AR),05073,0.4869,0.4774,0.475,0.4594,0.5191,0.5885,0.5823,0.5762,0.5807,0.4968,0.4486
Arkansas,Lawrence County (AR),05075,0.4169,0.4081,0.4212,0.4238,0.4304,0.438,0.4266,0.4358,0.4382,0.4376,0.4497
